macro_cluster,n_clusters,sample_benchmark,evaluated_images,Aligned_count,Unaligned_count,Uncertain_count,Aligned_pct,Unaligned_pct,Uncertain_pct,total_concepts,active
0,3,10,10,16,62,170,6.451612903225806,25.0,68.54838709677419,248,True
1,3,10,10,3,1,1,60.0,20.0,20.0,5,True
2,3,10,10,0,3,6,0.0,33.33333333333333,66.66666666666666,9,True
0,5,10,10,15,59,157,6.493506493506493,25.541125541125542,67.96536796536796,231,True
1,5,10,10,1,3,12,6.25,18.75,75.0,16,True
2,5,10,10,0,3,6,0.0,33.33333333333333,66.66666666666666,9,True
3,5,10,10,0,0,1,0.0,0.0,100.0,1,True
4,5,10,10,3,1,1,60.0,20.0,20.0,5,True
0,8,10,10,14,36,97,9.523809523809524,24.489795918367346,65.98639455782312,147,True
1,8,10,10,0,6,27,0.0,18.181818181818183,81.81818181818183,33,True
2,8,10,10,1,17,33,1.9607843137254901,33.33333333333333,64.70588235294117,51,True
3,8,10,10,1,3,10,7.142857142857142,21.428571428571427,71.42857142857143,14,True
4,8,10,10,3,1,1,60.0,20.0,20.0,5,True
5,8,10,10,0,3,6,0.0,33.33333333333333,66.66666666666666,9,True
6,8,10,10,0,0,2,0.0,0.0,100.0,2,True
7,8,10,10,0,0,1,0.0,0.0,100.0,1,True
0,10,10,10,1,18,73,1.0869565217391304,19.565217391304348,79.34782608695652,92,True
1,10,10,10,10,16,12,26.31578947368421,42.10526315789473,31.57894736842105,38,True
2,10,10,10,1,17,33,1.9607843137254901,33.33333333333333,64.70588235294117,51,True
3,10,10,10,0,6,27,0.0,18.181818181818183,81.81818181818183,33,True
4,10,10,10,3,2,12,17.647058823529413,11.76470588235294,70.58823529411765,17,True
5,10,10,10,0,3,6,0.0,33.33333333333333,66.66666666666666,9,True
6,10,10,10,0,0,2,0.0,0.0,100.0,2,True
7,10,10,10,0,0,1,0.0,0.0,100.0,1,True
8,10,10,10,1,3,10,7.142857142857142,21.428571428571427,71.42857142857143,14,True
9,10,10,10,3,1,1,60.0,20.0,20.0,5,True
0,3,50,50,95,280,838,7.831821929101402,23.083264633140974,69.08491343775762,1213,True
1,3,50,50,16,1,6,69.56521739130434,4.3478260869565215,26.08695652173913,23,True
2,3,50,50,0,23,52,0.0,30.666666666666664,69.33333333333334,75,True
0,5,50,50,89,259,788,7.834507042253522,22.799295774647888,69.36619718309859,1136,True
1,5,50,50,6,20,41,8.955223880597014,29.850746268656714,61.19402985074627,67,True
2,5,50,50,0,23,52,0.0,30.666666666666664,69.33333333333334,75,True
3,5,50,50,0,1,9,0.0,10.0,90.0,10,True
4,5,50,50,16,1,6,69.56521739130434,4.3478260869565215,26.08695652173913,23,True
0,8,50,50,77,180,534,9.734513274336283,22.756005056890015,67.5094816687737,791,True
1,8,50,50,1,33,95,0.7751937984496124,25.581395348837212,73.64341085271317,129,True
2,8,50,50,11,46,159,5.092592592592593,21.296296296296298,73.61111111111111,216,True
3,8,50,50,6,20,34,10.0,33.33333333333333,56.666666666666664,60,True
4,8,50,50,16,1,6,69.56521739130434,4.3478260869565215,26.08695652173913,23,True
5,8,50,50,0,23,52,0.0,30.666666666666664,69.33333333333334,75,True
6,8,50,50,0,0,7,0.0,0.0,100.0,7,True
7,8,50,50,0,1,9,0.0,10.0,90.0,10,True
0,10,50,50,22,108,368,4.417670682730924,21.686746987951807,73.89558232931726,498,True
1,10,50,50,43,65,55,26.380368098159508,39.87730061349693,33.74233128834356,163,True
2,10,50,50,11,46,159,5.092592592592593,21.296296296296298,73.61111111111111,216,True
3,10,50,50,1,33,95,0.7751937984496124,25.581395348837212,73.64341085271317,129,True
4,10,50,50,12,7,111,9.230769230769232,5.384615384615385,85.38461538461539,130,True
5,10,50,50,0,23,52,0.0,30.666666666666664,69.33333333333334,75,True
6,10,50,50,0,0,7,0.0,0.0,100.0,7,True
7,10,50,50,0,1,9,0.0,10.0,90.0,10,True
8,10,50,50,6,20,34,10.0,33.33333333333333,56.666666666666664,60,True
9,10,50,50,16,1,6,69.56521739130434,4.3478260869565215,26.08695652173913,23,True
0,3,100,100,170,570,1682,7.018992568125516,23.534269199009085,69.4467382328654,2422,True
1,3,100,100,29,2,25,51.78571428571429,3.571428571428571,44.642857142857146,56,True
2,3,100,100,1,46,98,0.6896551724137931,31.724137931034484,67.58620689655173,145,True
0,5,100,100,161,514,1565,7.187499999999999,22.94642857142857,69.86607142857143,2240,True
1,5,100,100,9,51,97,5.7324840764331215,32.48407643312102,61.78343949044586,157,True
2,5,100,100,1,46,98,0.6896551724137931,31.724137931034484,67.58620689655173,145,True
3,5,100,100,0,5,20,0.0,20.0,80.0,25,True
4,5,100,100,29,2,25,51.78571428571429,3.571428571428571,44.642857142857146,56,True
0,8,100,100,128,351,1063,8.300907911802852,22.762645914396888,68.93644617380026,1542,True
1,8,100,100,4,64,187,1.5686274509803921,25.098039215686274,73.33333333333333,255,True
2,8,100,100,29,99,315,6.5462753950338595,22.34762979683973,71.10609480812641,443,True
3,8,100,100,9,51,81,6.382978723404255,36.17021276595745,57.446808510638306,141,True
4,8,100,100,29,2,25,51.78571428571429,3.571428571428571,44.642857142857146,56,True
5,8,100,100,1,46,98,0.6896551724137931,31.724137931034484,67.58620689655173,145,True
6,8,100,100,0,0,16,0.0,0.0,100.0,16,True
7,8,100,100,0,5,20,0.0,20.0,80.0,25,True
0,10,100,100,41,202,728,4.222451081359424,20.803295571575696,74.97425334706487,971,True
1,10,100,100,64,130,111,20.983606557377048,42.62295081967213,36.39344262295082,305,True
2,10,100,100,29,99,315,6.5462753950338595,22.34762979683973,71.10609480812641,443,True
3,10,100,100,4,64,187,1.5686274509803921,25.098039215686274,73.33333333333333,255,True
4,10,100,100,23,19,224,8.646616541353383,7.142857142857142,84.21052631578947,266,True
5,10,100,100,1,46,98,0.6896551724137931,31.724137931034484,67.58620689655173,145,True
6,10,100,100,0,0,16,0.0,0.0,100.0,16,True
7,10,100,100,0,5,20,0.0,20.0,80.0,25,True
8,10,100,100,9,51,81,6.382978723404255,36.17021276595745,57.446808510638306,141,True
9,10,100,100,29,2,25,51.78571428571429,3.571428571428571,44.642857142857146,56,True
0,3,500,500,814,2756,8479,6.75574736492655,22.873267491078096,70.37098514399536,12049,True
1,3,500,500,128,9,123,49.23076923076923,3.4615384615384617,47.30769230769231,260,True
2,3,500,500,1,195,491,0.1455604075691412,28.38427947598253,71.47016011644833,687,True
0,5,500,500,780,2462,7880,7.0131271354073,22.136306419708685,70.85056644488401,11122,True
1,5,500,500,33,243,473,4.405874499332444,32.44325767690254,63.150867823765026,749,True
2,5,500,500,1,195,491,0.1455604075691412,28.38427947598253,71.47016011644833,687,True
3,5,500,500,1,51,126,0.5617977528089888,28.651685393258425,70.78651685393258,178,True
4,5,500,500,128,9,123,49.23076923076923,3.4615384615384617,47.30769230769231,260,True
0,8,500,500,659,1670,5314,8.622268742640324,21.85005887740416,69.52767237995552,7643,True
1,8,500,500,12,320,1029,0.881704628949302,23.512123438648054,75.60617193240265,1361,True
2,8,500,500,109,472,1537,5.146364494806422,22.285174693106704,72.56846081208688,2118,True
3,8,500,500,29,240,393,4.380664652567976,36.25377643504532,59.3655589123867,662,True
4,8,500,500,128,9,123,49.23076923076923,3.4615384615384617,47.30769230769231,260,True
5,8,500,500,1,195,491,0.1455604075691412,28.38427947598253,71.47016011644833,687,True
