macro_cluster,Aligned,Unaligned,Uncertain
0,4.417670682730924,21.686746987951807,73.89558232931726
1,26.380368098159508,39.87730061349693,33.74233128834356
2,5.092592592592593,21.296296296296298,73.61111111111111
3,0.7751937984496124,25.581395348837212,73.64341085271317
4,9.230769230769232,5.384615384615385,85.38461538461539
5,0.0,30.666666666666664,69.33333333333334
6,0.0,0.0,100.0
7,0.0,10.0,90.0
8,10.0,33.33333333333333,56.666666666666664
9,69.56521739130434,4.3478260869565215,26.08695652173913
