macro_cluster,Aligned,Unaligned,Uncertain
0,4.222451081359424,20.803295571575696,74.97425334706487
1,20.983606557377048,42.62295081967213,36.39344262295082
2,6.5462753950338595,22.34762979683973,71.10609480812641
3,1.5686274509803921,25.098039215686274,73.33333333333333
4,8.646616541353383,7.142857142857142,84.21052631578947
5,0.6896551724137931,31.724137931034484,67.58620689655173
6,0.0,0.0,100.0
7,0.0,20.0,80.0
8,6.382978723404255,36.17021276595745,57.446808510638306
9,51.78571428571429,3.571428571428571,44.642857142857146
